Country,ISO,Year,Renewable_Electricity_Share,Renewable_Production,Per_Capita_CO2,GDP_Growth,Carbon_Rate_2023,comp_RenewElec,comp_RenewProd,comp_Transition,comp_EconRes,comp_PolicyEnable,Opportunity_Score,Opportunity_Category,Flag_RenewElec_Imputed,Flag_RenewProd_Imputed,Flag_GDP_Imputed_opp,Flag_CarbonRate_Imputed_opp
Aruba,ABW,2021,16.129034,0.15,8.054722,27.6,,32.4324,21.3964,16.2162,99.0991,39.1892,38.25,Moderate,False,False,False,True
Afghanistan,AFG,2021,84.33735,0.7,0.296119,-20.7,,91.4414,33.3333,87.8378,0.0,39.1892,54.82,Moderate,False,False,False,True
Angola,AGO,2021,71.81984,11.8,0.619141,1.2,,83.3333,73.4234,79.2793,13.0631,39.1892,63.09,High,False,False,False,True
Anguilla,AIA,2021,,,9.188354,,,50.0,50.0,11.7117,49.7748,39.1892,42.6,Moderate,True,True,True,True
Albania,ALB,2021,100.0,5.3100000000000005,1.618066,8.9,,99.0991,62.6126,65.3153,86.2613,39.1892,74.0,High,False,False,False,True
Andorra,AND,2021,,,5.730292,8.3,,50.0,50.0,25.2252,84.2342,39.1892,49.8,Moderate,True,True,False,True
United Arab Emirates,ARE,2021,4.93991,6.7,21.792151,4.4,,18.4685,64.8649,2.2523,36.2613,39.1892,33.41,Low,False,False,False,True
Argentina,ARG,2021,25.347696,37.18,4.117967,10.7,9.1290312,44.5946,86.9369,38.2883,89.4144,76.5766,65.75,High,False,False,False,False
Armenia,ARM,2021,31.284153,2.29,2.438591,5.7,,59.4595,45.4955,54.955,62.3874,39.1892,52.69,Moderate,False,False,False,True
Antarctica,ATA,2021,,,0.0,,,50.0,50.0,99.3243,49.7748,39.1892,55.74,High,True,True,True,True
Antigua and Barbuda,ATG,2021,5.714286,0.02,5.027895,6.6,,20.7207,14.6396,30.1802,72.7477,39.1892,31.19,Low,False,False,False,True
Australia,AUS,2021,29.134624,71.98,15.091473,5.2,20.383238,56.3063,92.3423,4.0541,57.6577,82.4324,61.6,High,False,False,False,False
Austria,AUT,2021,78.790146,52.75,7.24333,4.6,85.875618,86.4865,90.5405,19.8198,38.7387,94.1441,71.49,High,False,False,False,False
Azerbaijan,AZE,2021,5.4012933,1.4200000000000002,3.732457,5.6,,18.9189,44.1441,44.1441,61.036,39.1892,38.37,Moderate,False,False,False,True
Burundi,BDI,2021,66.666664,0.24,0.055206,3.1,,81.5315,26.5766,96.8468,23.8739,39.1892,55.09,High,False,False,False,True
Belgium,BEL,2021,22.95264,22.73,8.243806,6.3,82.957512,40.991,81.0811,14.8649,68.6937,93.6937,59.16,High,False,False,False,False
Benin,BEN,2021,4.166667,0.01,0.596744,7.2,,16.2162,11.2613,80.1802,77.7027,39.1892,37.24,Moderate,False,False,False,True
"Bonaire, Saint Eustatius and Saba",BES,2021,,,3.871365,,,50.0,50.0,42.3423,49.7748,39.1892,47.2,Moderate,True,True,True,True
Burkina Faso,BFA,2021,13.142858,0.2299999999999999,0.257832,6.9,-22.671375,29.7297,25.9009,88.7387,74.5495,2.2523,40.23,Moderate,False,False,False,False
