Country,ISO,Year,CO2,Per_Capita_CO2,Renewable_Electricity_Share,GDP_Growth,Carbon_Rate_2023,comp_CO2,comp_PerCap,comp_RenewWeak,comp_GDPWeak,comp_PolicyWeak,Risk_Score,Risk_Category,Flag_Renewable_Imputed,Flag_GDP_Imputed,Flag_CarbonRate_Imputed
Aruba,ABW,2021,0.858126,8.054722,16.129034,27.6,,22.973,83.7838,67.5676,0.9009,60.8108,46.76,Moderate,False,False,True
Afghanistan,AFG,2021,11.874211,0.296119,84.33735,-20.7,,54.5045,12.1622,8.5586,100.0,60.8108,42.0,Moderate,False,False,True
Angola,AGO,2021,21.362717,0.619141,71.81984,1.2,,62.6126,20.7207,16.6667,86.9369,60.8108,46.22,Moderate,False,False,True
Anguilla,AIA,2021,0.144744,9.188354,,,,6.7568,88.2883,50.0,50.2252,60.8108,45.8,Moderate,True,True,True
Albania,ALB,2021,4.619109,1.618066,100.0,8.9,,38.7387,34.6847,0.9009,13.7387,60.8108,26.93,Low,False,False,True
Andorra,AND,2021,0.452888,5.730292,,8.3,,15.7658,74.7748,50.0,15.7658,60.8108,40.63,Moderate,True,False,True
United Arab Emirates,ARE,2021,204.086658,21.792151,4.93991,4.4,,87.3874,97.7477,81.5315,63.7387,60.8108,81.79,Very High,False,False,True
Argentina,ARG,2021,186.448284,4.117967,25.347696,10.7,9.1290312,86.4865,61.7117,55.4054,10.5856,23.4234,56.07,High,False,False,False
Armenia,ARM,2021,6.806045,2.438591,31.284153,5.7,,44.1441,45.045,40.5405,37.6126,60.8108,44.11,Moderate,False,False,True
Antarctica,ATA,2021,0.0,0.0,,,,0.6757,0.6757,50.0,50.2252,60.8108,26.45,Low,True,True,True
Antigua and Barbuda,ATG,2021,0.468695,5.027895,5.714286,6.6,,16.2162,69.8198,79.2793,27.2523,60.8108,48.82,Moderate,False,False,True
