Year,Market_Value,Market_Volume,Series,Market_Value_model,Market_Volume_model
2005,48.0,12.0,historical,,
2006,111.0,32.0,historical,,
2007,359.0,70.0,historical,,
2008,790.0,135.0,historical,,
2009,485.0,107.0,historical,,
2010,444.0,131.0,historical,,
2011,602.0,100.0,historical,,
2012,530.0,103.0,historical,,
2013,339.0,68.0,historical,,
2014,298.0,77.0,historical,,
2015,278.0,84.0,historical,,
2016,199.0,64.0,historical,,
2017,136.0,47.0,historical,,
2018,285.0,99.0,historical,,
2019,320.0,105.0,historical,,
2020,528.0,208.0,historical,,
2021,2100.0,516.0,historical,,
2022,1900.0,254.0,historical,,
2023,755.0,112.0,historical,,
2024,535.0,84.0,historical,,
2025,535.0,98.21452331542969,forecast,Naive_LastValue,XGBoost
2026,535.0,98.21452331542969,forecast,Naive_LastValue,XGBoost
2027,535.0,98.21452331542969,forecast,Naive_LastValue,XGBoost
