Year,Market_Value,Market_Volume,Global_CO2,Renewable_Electricity_Share,Renewable_Production,Global_GDP_Growth
2005,48,12,29614.602256,18.408825,3270.14,5.0232
2006,111,32,30593.116788,18.524109,3421.74,5.6361
2007,359,70,31506.7892,18.241568,3531.1499999999996,5.7536
2008,790,135,32085.836322,19.269098,3788.33,4.1675
2009,485,107,31564.030692,19.803255,3873.80998,0.0139
2010,444,131,33364.346496,19.974604,4182.389999999999,4.4052
2011,602,100,34487.011618,20.299889,4395.87,3.9415
2012,530,103,35006.267581,21.260258,4713.450000000001,3.5056
2013,339,68,35319.201624,22.04242,5027.549999999999,3.2231
2014,298,77,35577.534774,22.62305,5299.04,3.3769
2015,278,84,35558.565735,23.310047,5515.29,2.5856
2016,199,64,35524.193212,24.111116,5857.749999999999,2.8179
2017,136,47,36096.739276,24.932064,6239.70997,3.1651
2018,285,99,36826.5066,25.554005,6649.75,3.2092
2019,320,105,37082.558969,26.589258,7010.579999999999,2.6185
2020,528,208,35264.085734,28.464031,7478.99,-5.0124
2021,2100,516,37123.850352,28.35046,7885.0400500000005,5.3675
2022,1900,254,,,,4.1249
2023,755,112,,,,3.3319
2024,535,84,,,,3.5963
